"Ensembl.Gene.ID","fc_strain","Associated.Gene.Name","p_strain","fc_time","p_time"
"ENSMUSG00000021948",1.17598006971187,"Prkcd",5.9025099794458e-09,-0.0963307028620336,4.18482391560182e-05
"ENSMUSG00000022285",1.07181671398062,"Ywhaz",8.81889519434377e-10,-0.0789244459345715,0.000132633323234087
"ENSMUSG00000022443",1.27027301774017,"Myh9",1.90656368618518e-10,-0.0431315011432504,0.140595560871382
"ENSMUSG00000023004",1.11867409927461,"Tuba1b",7.75621406849817e-08,0.259439502876342,6.42363181947266e-34
"ENSMUSG00000023456",0.722327228138979,"Tpi1",0.00032098000774878,0.163459568544525,3.34807569395693e-15
"ENSMUSG00000024393",1.21006592978475,"Prrc2a",1.41452757627123e-09,-0.00331758376888806,0.949208075976141
"ENSMUSG00000024456",1.48545414013558,"Diap1",1.49528032339926e-11,-0.0139991115483784,0.770802028234082
"ENSMUSG00000025203",0.0627100720858112,"Scd2",0.887008568689231,0.217806149098558,4.85596100832964e-10
"ENSMUSG00000025747",0.825622067828084,"Tyms",0.146991443386571,0.364074150389637,5.70201903885401e-11
"ENSMUSG00000025791",0.373716782861045,"Pgm2",0.302489719242293,0.214712731128854,3.5002406305196e-10
"ENSMUSG00000025809",1.27083112699108,"Itgb1",3.18548677193096e-10,0.0896103356807504,0.000195755046221248
"ENSMUSG00000026238",0.793664095847071,"Ptma",6.71265416756938e-06,0.202250358608991,1.13887515315988e-29
"ENSMUSG00000026281",0.873985730364996,"Dtymk",0.0110260550836462,0.213946004863163,2.02609602879666e-09
"ENSMUSG00000026821",1.17407087310666,"Ralgds",0.0179142913246015,-0.331946563558812,6.10434639510301e-11
"ENSMUSG00000027199",0.913741884473428,"Gatm",0.105825477656836,0.396403827113584,6.68546194347937e-13
"ENSMUSG00000027203",0.802956404479355,"Dut",0.0427448760424729,0.237171454914997,4.43069850999803e-09
"ENSMUSG00000027678",1.92857335413133,"Ncoa3",5.18660249171371e-12,0.0204817401241019,0.728206122929236
"ENSMUSG00000027995",-0.0798991272198061,"Tlr2",0.88298764816948,-0.310280070555416,2.48143004012568e-13
"ENSMUSG00000028063",1.01370281104819,"Lmna",0.0112406025567188,-0.297985921094594,2.03321612990274e-13
"ENSMUSG00000028212",0.322836133482218,"Ccne2",0.526485747888709,0.37363459382853,3.61194415960694e-17
"ENSMUSG00000028333",0.422683102131761,"Anp32b",0.0181204065017265,0.148008450379978,1.01425681344698e-16
"ENSMUSG00000028452",1.12567573301729,"Vcp",7.03218732185666e-09,0.0722576163185697,0.00257634858457519
"ENSMUSG00000028494",0.725121005930467,"Plin2",0.0580130103750398,-0.267346552494075,1.83528528428384e-12
"ENSMUSG00000028530",1.2408929077517,"Jak1",3.24542223129523e-09,0.00475483611192411,0.928925404144712
"ENSMUSG00000028832",0.888452525615911,"Stmn1",0.0610904051064713,0.306552012090921,1.66385257347236e-10
"ENSMUSG00000028923",1.67835236955069,"Necap2",1.21078989892833e-11,0.0033277856269932,0.959783073655834
"ENSMUSG00000029177",0.903083720557478,"Cenpa",0.0326762164870246,-0.294230063162515,4.36581666696806e-12
"ENSMUSG00000029430",0.544999708494452,"Ran",0.0193541980450293,0.144027000103627,2.00277119088336e-09
"ENSMUSG00000029470",1.52001624479149,"P2rx4",9.35609865000249e-10,0.00447219656247504,0.944754830165248
"ENSMUSG00000029687",1.01122607623,"Ezh2",0.0337944190722659,0.301994597813675,4.32250255619589e-10
"ENSMUSG00000029730",0.684380565077937,"Mcm7",0.184083718398899,0.325757932420652,6.10434639510301e-11
"ENSMUSG00000030120",1.23085768438112,"Mlf2",3.87146348974976e-09,0.0383541507914878,0.233601136971244
"ENSMUSG00000030122",1.00154522407718,"Ptms",6.29585108444375e-10,0.0570822212993084,0.00511133457747372
